Observation id	clip_024									
										
Media file(s)										
										
Player #1	/home/alberto/Vídeos/PAD/clip_024.avi									
										
Observation date	2019-05-03 13:40:25									
										
Description	Recording date: 10/04/2019 Circuit: Downtown Alcalá Original video: G1_video_037.avi									
										
Time offset (s)	0.000									
										
independent variables										
variable	value									
Weather	sun									
Visibility	normal									
Traffic	flow									
Traffic lights	no									
Crossing	yes									
Sign	yes									
Speed bump	no									
Lanes	1									
Ways	one									
										
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Comment	Status
0.308	/home/alberto/Vídeos/PAD/clip_024.avi	7.040	25.0	Agent01	Walking		Normal	Road		START
0.308	/home/alberto/Vídeos/PAD/clip_024.avi	7.040	25.0	Agent02	Walking		Fast	Road		START
0.889	/home/alberto/Vídeos/PAD/clip_024.avi	7.040	25.0	Agent01	Walking		Normal	Road		STOP
1.051	/home/alberto/Vídeos/PAD/clip_024.avi	7.040	25.0	Agent01	Glancing					POINT
1.590	/home/alberto/Vídeos/PAD/clip_024.avi	7.040	25.0	Agent02	Walking		Fast	Road		STOP
1.688	/home/alberto/Vídeos/PAD/clip_024.avi	7.040	25.0	Agent01	Crossing		Normal			START
1.842	/home/alberto/Vídeos/PAD/clip_024.avi	7.040	25.0	Agent02	Crossing		Fast			START
1.884	/home/alberto/Vídeos/PAD/clip_024.avi	7.040	25.0	Agent01	Looking		Side			START
2.555	/home/alberto/Vídeos/PAD/clip_024.avi	7.040	25.0	Agent02	Glancing					POINT
3.650	/home/alberto/Vídeos/PAD/clip_024.avi	7.040	25.0	Agent01	Looking		Side			STOP
5.087	/home/alberto/Vídeos/PAD/clip_024.avi	7.040	25.0	Agent02	Crossing		Fast			STOP
5.514	/home/alberto/Vídeos/PAD/clip_024.avi	7.040	25.0	Agent01	Crossing		Normal			STOP
